Title,Speakers,Speaker Location,Affiliation,Identifier,Room,Date,Time,Sesstion,Theme
Single-Cell Transcriptomic Atlas of Cervical Cancer Reveals a Stem-like Malignant Epithelial Program Associated with Immunosuppressive Microenvironment,Fei Zhu ,"Fuzhou, China","Departments of Gynecology, Clinical Oncology School of Fujian Medical University, Fujian Cancer Hospital (Fujian Branch of Fudan University Shanghai Cancer Center), Fuzhou 350014, Fujian, China.",54eP,Hall 25,10/20/2025,12-13:00,ePoster,Basic science
Single-Cell Transcriptomic Dissection Reveals Subtype Diversity in Cervical Small Cell Neuroendocrine Carcinoma,Fei Zhu ,"Fuzhou, China","Departments of Gynecology, Clinical Oncology School of Fujian Medical University, Fujian Cancer Hospital (Fujian Branch of Fudan University Shanghai Cancer Center), Fuzhou 350014, Fujian, China.",63eP,Hall 25,10/20/2025,12-13:00,ePoster,Basic science
Spatial transcriptomics reveals biological disparities in ipsilateral breast tumor recurrence after breast-conserving surgery,FEILIN QU ,"Shanghai, China","Key Laboratory of Breast Cancer in Shanghai, Department of Breast Surgery, Fudan University Shanghai Cancer Center, Shanghai 200032, China.",383P,Hall 25,10/20/2025,12-13:00,Poster,"Breast cancer, early stage"
TET2-Mutant Clonal Hematopoiesis Drives Lung Cancer Progression via Immune Dysregulation,Feng Li ,"Guangzhou, China","Department of Thoracic Oncology and Surgery, The First Affiliated Hospital of Guangzhou Medical University",16P,Hall 25,10/20/2025,12-13:00,Poster,Basic science
AL2846 in patients (pts) with radioiodine-refractory differentiated thyroid carcinoma (RR-DTC) previously treated with tyrosine kinase inhibitors (TKI): Updated clinical results from the phase Ib study.,Feng Shi ,"Changsha, China","Department of Interventional Radiology, Guangdong Provincial People's Hospital, Guangzhou, People's Republic of China.",2989P,Hall 25,10/20/2025,12-13:00,Poster,Thyroid cancer
Phosphorylation-induced switch in DEK chromatin occupancy in malignant melanoma cells,Ferdinand Kappes ,"Jiangsu, China","Division of Natural and Applied Sciences, Duke Kunshan University, Kunshan, Jiangsu, China.",35eP,Hall 25,10/20/2025,12-13:00,ePoster,Basic science
Outcomes of First-Line Chemotherapy in Advanced/Metastatic Adult Fibrosarcoma: Pooled Analysis of Clinical Trials from the European Organisation for Research and Treatment of Cancer Soft Tissue and Bone Sarcoma Group,Fernando A. Campos ,"Sao Paulo, Brazil","Department of Anthropology, University of Texas at San Antonio, TX, USA.",2739P,Hall 25,10/20/2025,12-13:00,Poster,Sarcoma
A molecular biology/pathologist’s perspective,Fernando Lopez-Rios ,"Madrid, Spain","Pathology Department, Hospital Universitario 12 de Octubre, Research Institute Hospital 12 de Octubre (imas12), CIBERONC, Madrid, Spain.",,Hamburg Auditorium - CityCube A,10/20/2025,09:00 - 09:15,Symposium,Accelerating tumour agnostic therapies
Plasma proteomic signature of sarcopenia in advanced cancer patients and its biological correlates.,Filippo G. Dall'Olio ,"Villejuif, France","Paris-Saclay University, Villejuif, France.",166P,Hall 25,10/20/2025,12-13:00,Poster,Biomarkers & translational research (agnostic)
Refining OncotypeDX Prognosis and Prediction in Early Breast Cancer (eBC): Clinical Insights from RSC4All External Validation,Flavia Jacobs ,"Milano, Italy","Humanitas Cancer Center, IRCCS Humanitas Research Hospital, Rozzano, MI, Italy.",370P,Hall 25,10/20/2025,12-13:00,Poster,"Breast cancer, early stage"
Transcriptomically inferred communications between immune cells & endothelial cells (ECs) via the TIGIT pathway in non-small cell lung cancer (NSCLC),Florence T. Wu ,"Vancouver, Canada","University of British Columbia, BC, Canada.",3061eP,Hall 25,10/20/2025,12-13:00,ePoster,Tumour biology and pathology
Brain organoids to study neural development and cancer,Florent Ginhoux ,"Singapore, Singapore","Translational Immunology Institute, SingHealth Duke-NUS Academic Medical Centre, Singapore, Singapore.",,Essen Auditorium - Hall 7.2a,10/20/2025,10:30 - 10:45,Symposium,Modelling cancer biology and therapy resistance with emerging technologies
Introduction: The Foundation of Nutritional Oncology,Florian Scotte ,"Villejuif, France","Interdisciplinary Department for the Organization of Patient Course (Supportive Care Department), Paris-Saclay University, Villejuif, France.",,Nuremberg Auditorium - Hall 5.2,10/20/2025,18:30 - 20:00,Industry-Sponsored Symposium,Cutting-Edge Nutritional Strategies in Oncology
Discussion,Florian Scotte ,"Villejuif, France","Interdisciplinary Department for the Organization of Patient Course (Supportive Care Department), Paris-Saclay University, Villejuif, France.",,Nuremberg Auditorium - Hall 5.2,10/20/2025,18:30 - 20:00,Industry-Sponsored Symposium,Cutting-Edge Nutritional Strategies in Oncology
Increasing matrix heterogeneity promotes cell-matrix interactions and the aggressiveness of liver cancer cells,Florian Van Bommel ,"Leipzig, Germany","Division of Hepatology, Department of Medicine II, Leipzig University Medical Center, Leipzig, Germany.",76eP,Hall 25,10/20/2025,12-13:00,ePoster,Basic science
Prevalence and heterogeneity of KDM6A deficiency in urothelial carcinoma of the urinary bladder,Florian Viehweger ,"Hamburg, Germany","Institute of Pathology, University Medical Center Hamburg-Eppendorf, Germany.",3052eP,Hall 25,10/20/2025,12-13:00,ePoster,Tumour biology and pathology
Current Advances and Challenges in Immunotherapy for Glioblastoma: A Narrative Review,FNU Prateek ,"Rishikesh, India",,719eP,Hall 25,10/20/2025,12-13:00,ePoster,CNS tumours
Genome wide Copy Number Alterations in ctDNA as Novel Biomarker in Head and Neck Squamous Cell Cancer (IDENTIFY Trial),Francesca Gaino ,"Pieve Emanuele, Italy","IRCCS Humanitas Research Hospital, Rozzano-Milan, Italy.",1379P,Hall 25,10/20/2025,12-13:00,Poster,"Head and neck cancer, excluding thyroid"
Comparison between RECIST v1.1 and Pain Assessment Criteria (PAC) in epithelioid hemangioendothelioma (EHE),Francesca Ricchini ,"MIlano, Italy","Department of Medical Oncology, Milan, Italy.",2732P,Hall 25,10/20/2025,12-13:00,Poster,Sarcoma
Evolution of ER-cutoff definition in clinical trials for triple negative breast cancer (TNBC): trends and patterns over 15 years.,Francesca Zanghi ,"Padua, Italy","Department of Otolaryngology-Head and Neck Surgery, Provincial Hospital of Bolzano (SABES-ASDAA), Bolzano, Italy.",434eP,Hall 25,10/20/2025,12-13:00,ePoster,"Breast cancer, early stage"
Recurrent resistance mutations to lirafugratinib delineate treatment sequences for FGFR2-driven tumors,Francesco Facchinetti ,"Villejuif, France","Paris-Saclay University, Villejuif, France.",140P,Hall 25,10/20/2025,12-13:00,Poster,Biomarkers & translational research (agnostic)
A regulator’s perspective,Francesco Pignatti ,"Amsterdam, Netherlands","Amsterdam, the Netherlands.",,Hamburg Auditorium - CityCube A,10/20/2025,09:15 - 09:30,Symposium,Accelerating tumour agnostic therapies
Chemotherapy (CT) and GnRH analogue (a) benefit in patients (pts)<=50 years (y) with estrogen receptor-positive (ER+)/HER2-negative (-) stage I-II breast cancer (BC) risk-stratified by Prosigna,Francesco Schettini ,"Barcelona, Spain","Medical Oncology Department, Hospital Clinic of Barcelona, Barcelona, Spain, Faculty of Medicine and Health Sciences, University of Barcelona, Barcelona",347P,Hall 25,10/20/2025,12-13:00,Poster,"Breast cancer, early stage"
Why do we need a new wave of biomarkers for patients with early stage BC?,Francesco Schettini ,"Barcelona, Spain","Medical Oncology Department, Hospital Clinic of Barcelona, Barcelona, Spain, Faculty of Medicine and Health Sciences, University of Barcelona, Barcelona",,Munich Auditorium - CityCube B,10/20/2025,14:45 - 14:50,Symposium,What's next?
"Imlunestrant plus abemaciclib versus fulvestrant plus abemaciclib in estrogen receptor positive (ER+), human epidermal growth factor receptor 2 negative (HER2-) advanced breast cancer (ABC): An indirect treatment comparison (ITC) of three phase 3 trials",Francois Clement Bidard ,"Paris, France","Department of Medical Oncology, PSL Research University, Paris, France.",496P,Hall 25,10/20/2025,12-13:00,Poster,"Breast cancer, metastatic"
Randomized phase 3 clinical trial evaluating atirmociclib plus letrozole versus a CDK4/6 inhibitor plus letrozole as first-line treatment for patients with HR+/HER2− advanced/metastatic breast cancer,Francois Clement Bidard ,"Paris, France","Department of Medical Oncology, PSL Research University, Paris, France.",624TiP,Hall 25,10/20/2025,12-13:00,Poster,"Breast cancer, metastatic"
Surveillance and interception of recurrence,Francois Clement Bidard ,"Paris, France","Department of Medical Oncology, PSL Research University, Paris, France.",,Munich Auditorium - CityCube B,10/20/2025,15:35 - 15:50,Symposium,What's next?
Assessment of the diagnostic accuracy of urine biomarkers for the detection of bladder cancer from an international multicentric study.,Francois-Michel Boisvert ,"Sherbrooke, Canada","Department of Immunology and Cell Biology, Faculty of Medicine and Health Sciences, Université de Sherbrooke, Sherbrooke, QC, Canada.",245eP,Hall 25,10/20/2025,12-13:00,ePoster,Biomarkers & translational research (agnostic)
Investigating the association between IL-6 polygenic risk score and serious adverse events in T-Cell Engagers phase 1 clinical trials.,Francois-Xavier Danlos ,"Villejuif, France","Drug Development Department, Villejuif, France, INSERM U1015, CIC1428 BIOTHERIS, Villejuif, France, Department of Medical Oncology, Dana Farber Cancer Institute, Harvard Medical School, Boston, MA",203eP,Hall 25,10/20/2025,12-13:00,ePoster,Biomarkers & translational research (agnostic)
Navigating the Future of Early CRC Treatment to Enhance Patient Care,Frank A. Sinicrope ,"Rochester, United States of America, MN","Department of Medicine, Gastrointestinal Research Unit, Mayo Clinic Alix School of Medicine, Rochester, MN",,Karlsruhe Auditorium - Hall 5.2,10/20/2025,18:30 - 20:00,Industry-Sponsored Symposium,Pioneering Efforts to Give Patients a Future in the Fight Against Gastrointestinal Cancers
Shaping the future of advanced prostate cancer with PSMA-targeted RLT,Fred Saad ,"Montreal, Canada","Department of Medicine, Centre de recherche du Centre hospitalier de l'Université de Montréal (CRCHUM), Institut du cancer de Montréal, Montréal, Québec, Canada.",,Flensburg Auditorium - Hall 23,10/20/2025,13:00 - 14:30,Industry-Sponsored Symposium,252 - Novartis - Unlocking the potential of radioligand therapy for advanced prostate cancer
Incidence of Immune Related Adverse Events in Malignant Melanoma patients treated with concurrent radiotherapy or stereotactic radiosurgery,Fred Van Someren ,"Stevenage, United Kingdom",,1625P,Hall 25,10/20/2025,12-13:00,Poster,Melanoma and other skin tumours
A NATALEE data-based machine learning (ML) model to predict distant recurrence (DR) and treatment (tx) effect in real-world (RW) patients (pts) with HR+/HER2- early breast cancer (EBC) without CDK4/6 inhibitor (CDK4/6i) tx,Frederick M. Howard ,"Chicago, United States of America","Department of Medicine, University of Chicago, Chicago, IL, USA.",372P,Hall 25,10/20/2025,12-13:00,Poster,"Breast cancer, early stage"
Cancer prediction using plasma protein profiling in patients with non-specific symptoms,Fredrika Wannberg ,"Stockholm, Sweden","Department of Clinical Sciences, Division of Internal Medicine, Danderyd Hospital, Karolinska Institutet, Stockholm, Sweden.",122P,Hall 25,10/20/2025,12-13:00,Poster,Biomarkers & translational research (agnostic)
Updated Efficacy of Anti-TROP2 ADC ESG401 for First-Line Metastatic TNBC,Fuming Qiu ,"Zhejiang, China","The Second Affiliated Hospital Zhejiang University School of Medicine, Hangzhou, China.",556P,Hall 25,10/20/2025,12-13:00,Poster,"Breast cancer, metastatic"
25 Years of Thyroid Cancer Mortality: Are We Winning the Battle?,Furqan Hassan ,"Multan, Pakistan","Medicine, Nishtar Medical University, Multan, PAK.",3011eP,Hall 25,10/20/2025,12-13:00,ePoster,Thyroid cancer
Real-world Safety and Efficacy Profiles of Trastuzumab-Deruxtecan in Patients with Advanced Breast Cancer,Gabriele Antonarelli ,"Milan, Italy","Division of New Drugs and Early Drug Development for Innovative Therapies, European Institute of Oncology, IRCCS, Milan, Italy, Department of Oncology and Hemato-Oncology, University of Milan, Milan",606P,Hall 25,10/20/2025,12-13:00,Poster,"Breast cancer, metastatic"
Expert Consensus statement on survivorship,Gabriella Pravettoni ,"Milan, Italy","Applied Research Division for Cognitive and Psychological Science, IEO European Institute of Oncology IRCCS, Milan, Italy.",,Heidelberg Auditorium - Hall 6.2,10/20/2025,16:30 - 16:45,Symposium,Survivorship
Clinicopathologic predictors of long-term disease control with first-line taxane-trastuzumab-pertuzumab in HER2+ metastatic breast cancer,Gaia Griguolo ,"Padua, Italy","Division of Medical Oncology 2, Veneto Institute of Oncology IOV-IRCCS, Padua, Italy, Department of Surgery, Oncology and Gastroenterology, University of Padua, Padua, Italy.",603P,Hall 25,10/20/2025,12-13:00,Poster,"Breast cancer, metastatic"
Proof of concept study of Low-Dose Nivolumab in cancers with Unresectable Cutaneous Squamous Cell Carcinoma,Gauduchon Thibault ,"Lyon, France",,1663P,Hall 25,10/20/2025,12-13:00,Poster,Melanoma and other skin tumours
Circulating Tumor DNA as a Marker of Minimal Residual Disease After Chemoradiation in Locally Advanced Head and Neck Cancer,Gema Bruixola ,"Valencia, Spain","Medical Oncology Department, Hospital Clinico Universitario de Valencia-INCLIVA Biomedical Research Institute, University of Valencia, Valencia, Spain.",1400P,Hall 25,10/20/2025,12-13:00,Poster,"Head and neck cancer, excluding thyroid"
Introducing radiopharmaceuticals: Basic principles,George Sgouros ,"Baltimore, United States of America","Department of Radiology and Radiological Science, School of Medicine, Johns Hopkins University, Baltimore, USA.",,Bonn Auditorium - Hall 7.1c,10/20/2025,16:30 - 16:55,Educational Session,Radiotherapeutics for cancer treatment
Enhancing Precision Oncology: Granular H-Score Prediction from H&E Images Using Deep Learning,Gerrit Erdmann ,"Berlin, Germany","NMI TT Pharmaservices, Berlin, Germany.",177eP,Hall 25,10/20/2025,12-13:00,ePoster,Biomarkers & translational research (agnostic)
Associations of PM2.5 Exposure with Incident Cardiovascular and Cancer Outcomes and Disease-Specific Adverse Cardiac Remodelling in the UK Biobank,Ghita Housni ,"London, United Kingdom",,164P,Hall 25,10/20/2025,12-13:00,Poster,Biomarkers & translational research (agnostic)
CSF liquid biopsy as an Innovative Tool for Research on Patients with Leptomeningeal Metastasis and Pediatric Brain Tumors,Giancarlo Feliciello ,"Regensburg, Germany","Fraunhofer Institute for Toxicology and Experimental Medicine ITEM-R, Germany.",682P,Hall 25,10/20/2025,12-13:00,Poster,CNS tumours
Validation and application of the 2020 version of the NKASRP questionnaire to assess nurses’ knowledge and attitudes in cancer pain management (SENSE study),Gianluca Catania ,"Genova, Italy",Department of Health Sciences - University of Genova,CN148,Hall 25,10/20/2025,12-13:00,Poster,Cancer Nursing: Workforce and educational issues in cancer nursing
Real-world evaluation of liquid biopsy as a diagnostic tool across a regional thoracic oncology network: insights from a 3-year HUB & SPOKES model experience,Gianluca Sacco ,"Genova, Italy","Department of Oncology, IRCCS Ospedale Policlinico San Martino and University of Genova, Genova, Italy.",1775eP,Hall 25,10/20/2025,12-13:00,ePoster,New diagnostic tools
What does it mean for an oncologist?,Giannis Mountzios ,"Athens, Greece","Fourth Department of Medical Oncology and Clinical Trials Unit, Henry Dunant Hospital Center Athens, Greece.",,Munich Auditorium - CityCube B,10/20/2025,08:35 - 08:50,Multidisciplinary Session,Adolescents and young adults (AYA) with advanced lung cancer
Translational data validate OBX-115 mechanism of action: Impact of dosing on clinical outcome in advanced (adv) melanoma,Gino K. In ,"Los Angeles, United States of America","Division of Oncology, Norris Comprehensive Cancer Center, University of Southern California, California.",1655P,Hall 25,10/20/2025,12-13:00,Poster,Melanoma and other skin tumours
From technology to clinical biomarkers: Spatial transcriptomics,Giovanni Ciriello ,"Lausanne, Switzerland","Department of Computational Biology, University of Lausanne, Lausanne, Switzerland, Swiss Cancer Center Léman, Lausanne, Switzerland, Swiss Institute of Bioinformatics, Lausanne, Switzerland.",,Essen Auditorium - Hall 7.2a,10/20/2025,10:45 - 11:00,Symposium,Modelling cancer biology and therapy resistance with emerging technologies
Systemic treatment in meningioma: still an unmet need,Giulia Cerretti ,"Padua, Italy","Department of Oncology, Oncology 1, Veneto Institute of Oncology IOV-IRCCS, Italy.",690P,Hall 25,10/20/2025,12-13:00,Poster,CNS tumours
Medulloblastoma diagnosis in adults: a monocentric retrospective experience,Giulia Cerretti ,"Padua, Italy","Department of Oncology, Oncology 1, Veneto Institute of Oncology IOV-IRCCS, Italy.",714eP,Hall 25,10/20/2025,12-13:00,ePoster,CNS tumours
Resistance mutational profiles and prognostic implications by different type of first-line CDK4/6 inhibitor in HR+/HER2- metastatic breast cancer (mBC): a liquid biopsy analysis,Giulia Zapelloni ,"Aviano, Italy","Department of Medicine (DAME), University of Udine, Udine, Italy.",522P,Hall 25,10/20/2025,12-13:00,Poster,"Breast cancer, metastatic"
"A Phase 2 study of zelenectide pevedotin, a Bicycle Drug Conjugate, in patients with NECTIN4 amplified advanced breast cancer (Duravelo-3)",Giuseppe Curigliano ,"Milan, Italy","European Institute of Oncology IRCCS, Milan, Italy, University of Milano, Milan, Italy.",628TiP,Hall 25,10/20/2025,12-13:00,Poster,"Breast cancer, metastatic"
Feasibility and Biomarker Validation of an International Randomized Phase 3 Trial of Bria-IMT Cell Therapy in Late Stage MBC (Bria-ABC),Giuseppe Del Priore ,"Atlanta, United States of America","Georgia Cancer Center of Excellence, GA, USA.",570P,Hall 25,10/20/2025,12-13:00,Poster,"Breast cancer, metastatic"
External validation of Rachel score: A prognostic tool for lung neuroendocrine tumors (conclusive insights),Giuseppe Lamberti ,"Bologna, Italy","Department of Medical and Surgical Sciences (DIMEC), Alma Mater Studiorum-University of Bologna, Medical Oncology Unit, Bologna, Italy.",1721P,Hall 25,10/20/2025,12-13:00,Poster,Neuroendocrine tumours
Long-Term Outcomes and Molecularly-Guided Management of Adult Medulloblastoma: Data from a Single-Institution Experience,Giuseppe Lombardi ,"Padova, Italy","Department of Medical Oncology, Oncology 1, Veneto Institute of Oncology IOV-IRCCS, Padova, Italy.",700P,Hall 25,10/20/2025,12-13:00,Poster,CNS tumours
"A phase 1, first-in-human study of regorafenib plus temozolomide with or without radiotherapy in patients with newly diagnosed MGMT methylated, IDH wildtype glioblastoma: the REGOMA-2 trial",Giuseppe Lombardi ,"Padova, Italy","Department of Medical Oncology, Oncology 1, Veneto Institute of Oncology IOV-IRCCS, Padova, Italy.",660MO,Karlsruhe Auditorium - Hall 5.2,10/20/2025,08:30 - 08:35,Mini Oral Session,CNS tumours
Redefining the role of radiation in the era of target therapy and immunotherapy,Giuseppe Minniti ,"Rome, Italy","Policlinico Umberto I, Department of Radiological, ″Sapienza″ University of Rome, Rome, Italy.",,Koblenz Auditorium - Hall 5.2,10/20/2025,14:50 - 15:05,Multidisciplinary Session,A case of breast cancer as example
Invited Discussant,Giuseppe Minniti ,"Rome, Italy","Policlinico Umberto I, Department of Radiological, ″Sapienza″ University of Rome, Rome, Italy.",,Karlsruhe Auditorium - Hall 5.2,10/20/2025,11:15 - 11:25,Proffered Paper,CNS tumours
Tipifarnib (TIP) and alpelisib (ALP) in recurrent/metastatic head and neck squamous cell carcinoma (R/M HNSCC): Phase 1 results from KURRENT-HN,Glenn J. Hanna ,"Boston, United States of America","Department of Medical Oncology, Dana-Farber Cancer Institute, Harvard Medical School, Boston, MA, USA.",1349P,Hall 25,10/20/2025,12-13:00,Poster,"Head and neck cancer, excluding thyroid"
CCTG BR.31: Adjuvant durvalumab (D) in resected non-small-cell lung cancer (NSCLC): final overall survival (OS) and minimal residual disease (MRD) analyses.,Glenwood Goss ,"Ottawa, Canada, Ontario","Department of Medicine, University of Ottawa, and the Ottawa Hospital Research Institute, Ottawa, ON K1H8L6, Canada.",LBA68,Hamburg Auditorium - CityCube A,10/20/2025,15:20 - 15:25,Mini Oral Session,Non-metastatic NSCLC
Safety and efficacy of a new neoadjuvant chemotherapy regimen in patients with advanced head and neck cancer in a resource-constrained setting.,Goutam S. Panda ,"Mumbai, India","Tata Memorial Hospital, Mumbai 400 012, India.",1447eP,Hall 25,10/20/2025,12-13:00,ePoster,"Head and neck cancer, excluding thyroid"
Nivolumab (NIVO) +/- relatlimab (RELA) or ipilimumab (IPI) for patients (pts) w/ treatment-naive or -refractory advanced basal cell carcinoma (aBCC),Govind Warrier ,"Baltimore, United States of America","1Johns Hopkins Sidney Kimmel Comprehensive Cancer Center, Bloomberg∼Kimmel Institute for Cancer Immunotherapy, Baltimore",1667P,Hall 25,10/20/2025,12-13:00,Poster,Melanoma and other skin tumours
Cardiac imaging and disease phenotypes in UK Biobank Breast Cancer Survivors,Gracia Andriamiadana ,"London, United Kingdom","William Harvey Research Institute, NIHR Barts Biomedical Research Centre, Queen Mary University of London, London, UK.",408P,Hall 25,10/20/2025,12-13:00,Poster,"Breast cancer, early stage"
Independent predictive role of obesity on vertebra fracture risk in breast cancer patients undergoing adjuvant aromatase inhibitor therapy,Greta Schivardi ,"Brescia, Italy","Department of Medical and Surgical Specialties, Radiological Sciences and Public Health, Medical Oncology, University of Brescia, Brescia, Italy.",371P,Hall 25,10/20/2025,12-13:00,Poster,"Breast cancer, early stage"
Metabolic regulation of metastasis and chemotherapy resistance of bladder cancer by HDAC2-catalyzed ARHGDIB delactylation,Guanghui Xu ,"Nanjing City, China","Department of Digestive Surgery, Xijing Hospital of Digestive Diseases, Fourth Military Medical University, Xi'an, China.",62eP,Hall 25,10/20/2025,12-13:00,ePoster,Basic science
Urinary Sediment SNORD4A as a Novel Diagnostic Biomarker and Driver of RCC Progression Through SPI-1 and Wnt Signaling,Guanxuan CHEN ,"Dalian, China","The Key Laboratory of Biomarker High throughput screening and target translation of breast and gastrointestinal tumor, Affiliated Zhongshan Hospital of Dalian University, Dalian, Liaoning, China.",254eP,Hall 25,10/20/2025,12-13:00,ePoster,Biomarkers & translational research (agnostic)
"ADU-1604, a differentiated CTLA-4 blocking antibody shows benchmark clinical efficacy with a milder safety profile in PD1 relapse/refractory melanoma patients",Guillermo Antonio De Velasco Oria ,"Madrid, Spain, MA",,1640P,Hall 25,10/20/2025,12-13:00,Poster,Melanoma and other skin tumours
"PIK3CA Mutation Profiles in Primary and Metastatic Lesions in Chinese Patients with Hormone Receptor-Positive, HER2-Negative Breast Cancer",Guiying Xu ,"Changchun, China","Department of Basic Medicine, Haihe Clinical School, Tianjin Medical University, Tianjin 300350, China.",529P,Hall 25,10/20/2025,12-13:00,Poster,"Breast cancer, metastatic"
Navigating early-stage squamous anal cancer: Multidisciplinary treatment approaches,Gunnar Folprecht ,"Dresden, Germany","Medical Clinic and Polyclinic I, University Hospital Carl Gustav Carus, Dresden, Germany.",,Essen Auditorium - Hall 7.2a,10/20/2025,18:30 - 20:00,Industry-Sponsored Symposium,257 - Incyte - Exploring New Horizons and Emerging Topics in Squamous Anal Cancer and CRC
"Neoadjuvant Toripalimab Plus Lenvatinib and GEMOX in Resectable, High-Risk Intrahepatic Cholangiocarcinoma:  A Randomized, Multicenter, Open-Label Phase II-III Clinical Trial",Guoming Shi ,"Shanghai, China","Department of Hepatobiliary Surgery and Liver Transplantation, Zhongshan Hospital, Fudan University, Shanghai, China, Liver Cancer Institute, Zhongshan Hospital, Fudan University, Shanghai, China",LBA11,Bonn Auditorium - Hall 7.1c,10/20/2025,08:53 - 08:58,Mini Oral Session,"GI tumours, upper digestive"
"Grand SLAM: A Prospective Randomized International Multicenter Study of Shortened versus Standard Duration Adjuvant Immunotherapy for Stage IIb-c, III and IV Cutaneous Malignant Melanoma (CMM)",Gustav Ullenhag ,"Uppsala, Sweden","Department of Oncology, Uppsala University Hospital, Uppsala, Sweden.",1697eP,Hall 25,10/20/2025,12-13:00,ePoster,Melanoma and other skin tumours
Patient-Derived Organoid Assays and AI Modeling Predict Clinical Trial Outcomes in Colorectal Cancer,Gustave Ronteix ,"Le Kremlin Bicetre, France","Université Paris Cité, Paris, France.",6P,Hall 25,10/20/2025,12-13:00,Poster,Basic science
Dissecting the relationship between response to ICB and CMV status in melanoma,Gusztav B. Milotay ,"Oxford, United Kingdom","University of Oxford, Oxford, UK.",1638P,Hall 25,10/20/2025,12-13:00,Poster,Melanoma and other skin tumours
Correlation of TROP-2 expression with clinico-pathological features and outcomes in HR+/HER2- Breast Cancer   receiving neoadjuvant chemotherapy,Hagar ElGhazawy ,"Cairo, Egypt","Clinical Oncology Department, Ain Shams University, Cairo, Egypt.",375P,Hall 25,10/20/2025,12-13:00,Poster,"Breast cancer, early stage"
Impact of BRCA mutation and RB1 alteration on treatment outcomes in HR+/HER2- breast cancer patients treated with endocrine therapy +/- CDK4/6 inhibitors:  A Systematic Review and Meta-analysis,Hagar ElGhazawy ,"Cairo, Egypt","Clinical Oncology Department, Ain Shams University, Cairo, Egypt.",500P,Hall 25,10/20/2025,12-13:00,Poster,"Breast cancer, metastatic"
"Oncotype-DX Recurrence Score (ODX RS)-guided management and long-term clinical outcomes of Irish women with node-negative (N0), oestrogen-positive (ER+), early breast cancer (EBC)",Hailey K. Carroll ,"Dublin, Ireland","Cork University Hospital, Wilton, T12 DC4A Cork, Ireland.",376P,Hall 25,10/20/2025,12-13:00,Poster,"Breast cancer, early stage"
Impact of BRCAness Status on Prognosis and Chemotherapy Sensitivity in Non-pCR Triple-Negative Breast Cancer Patients After Neoadjuvant Treatment,Hangcheng Xu ,"Beijing, China","Department of Medical Oncology, National Cancer Center/National Clinical Research Center for Cancer/Cancer Hospital, Chinese Academy of Medical Sciences and Peking Union Medical College, Beijing",418P,Hall 25,10/20/2025,12-13:00,Poster,"Breast cancer, early stage"
A systematic review of validated and adapted prediction models for risk of breast cancer,Hannah F. Nentwich ,"Brighton, United Kingdom","University of Oxford, Oxford, UK.",477P,Hall 25,10/20/2025,12-13:00,Poster,"Breast cancer, locally advanced"
Gut microbiota changes in patients with non-small cell lung cancer undergoing chemoradiotherapy,Hanne Marte G. Nymoen ,"Oslo, Norway","Oslo University Hospital, Oslo, Norway.",204eP,Hall 25,10/20/2025,12-13:00,ePoster,Biomarkers & translational research (agnostic)
Targeting SPP1 with ATRA Represents a Promising Therapeutic Strategy for Osteosarcoma,Hao Fu ,"Hangzhou, China","Department of Pediatric Surgery, Affiliated Hospital of Zunyi Medical University, Zunyi, China.",2754eP,Hall 25,10/20/2025,12-13:00,ePoster,Sarcoma
Efficacy and safety of anlotinib plus sintilimab in locally advanced or metastatic BRAF wild-type anaplastic thyroid carcinoma,Haohua Zhu ,"Beijing, China","Department of Medical Oncology, Beijing Key Laboratory of Clinical Study on Anticancer Molecular Targeted Drugs, National Cancer Center/National Clinical Research Center for Cancer/Cancer Hospital",2991P,Hall 25,10/20/2025,12-13:00,Poster,Thyroid cancer
Secretory GPX3 promotes lung metastasis of renal cell carcinoma,Haoyuan Han ,"Nanjing, China","College of Animal Science and Technology, Henan University of Animal Husbandry and Economy, Zhengzhou, China.",68eP,Hall 25,10/20/2025,12-13:00,ePoster,Basic science
A new biomarker predicting response to bevacizumab treatment in serous ovarian cancer: HERC2 gene,Hasan C. Yildirim ,"Ankara, Turkey","Department of Medical Oncology, Hacettepe University Cancer Institute, Ankara, Turkey.",33eP,Hall 25,10/20/2025,12-13:00,ePoster,Basic science
"Retrospective Analysis of FGFR-TKI Efficacy in Patients Treated at Gustave Roussy: Impact of FGFR Alteration Type, Tumor Type, and Rechallenge Therapy",Hassan Badreddine ,"Villejuif, France","Department of Hematology-Oncology, Hotel-Dieu de France University Hospital, Faculty of Medicine, Saint Joseph University, Beirut, Lebanon.",284eP,Hall 25,10/20/2025,12-13:00,ePoster,Biomarkers & translational research (agnostic)
Is completion thyroidectomy necessary when five or more micrometastatic lymph nodes are detected after lobectomy in papillary thyroid carcinoma via transoral endoscopic vestibular approach (TOETVA)?,Hau X. Nguyen ,"Hanoi, Vietnam","Hanoi Medical University Hospital, Hanoi, 100000 Vietnam.",3007eP,Hall 25,10/20/2025,12-13:00,ePoster,Thyroid cancer
Quality of Life in Thyroid Cancer Survivors Two and Five Years After Diagnosis: Results from the French National VICAN Surveys,Hayat H. Mcheik ,"Marseille, France",,3000P,Hall 25,10/20/2025,12-13:00,Poster,Thyroid cancer
